userID,username,email,password,permissionLevel
47,Joseph2Martinez,Joseph2Martinez@yahoo.com,Xb3U>Za@E?'I,2
48,William1Miller,William1Miller@yahoo.com,rYIYUr|M2(6m,2
49,Michael2Hernandez,Michael2Hernandez@yahoo.com,~UlZrcS!?clm,1
50,Linda2Moore,Linda2Moore@gmail.com,"fNow;]_Uj""7N",1
51,Jennifer1Garcia,Jennifer1Garcia@outlook.ca,"=L<gLM$""at{e",2
52,Susan1Gonzalez,Susan1Gonzalez@gmail.com,`6%5mn{&/zJ8,1
53,Joseph1Harris,Joseph1Harris@gmail.com,"oa!s('5y|EN""",1
54,Michael1Miller,Michael1Miller@uwaterloo.ca,MOp'e.b93Z^#,1
55,Karen1Davis,Karen1Davis@yahoo.com,1?_(rQ(l\xd5,1
56,James1Jones,James1Jones@gmail.com,x@@?^[!.1wW&,2
57,Charles1Brown,Charles1Brown@uwaterloo.ca,hLnEj}`0c&bi,1
58,James1Davis,James1Davis@yahoo.com,J?2xcr^I]A.H,1
59,Michael2Rodriguez,Michael2Rodriguez@proton.me,:ZgI*:Lo}Ibt,2
60,Joseph1Williams,Joseph1Williams@yahoo.com,F7/En?RqEVp!,2
61,Joseph1Lopez,Joseph1Lopez@yahoo.com,NG)RSpb>xV~g,2
62,Susan1Jones,Susan1Jones@proton.me,"""xk9f?[<ii+5",2
63,Matthew1Hernandez,Matthew1Hernandez@uwaterloo.ca,(A3(=Ig\|=fo,1
64,Jennifer1Rodriguez,Jennifer1Rodriguez@gmail.com,amV[<A8VN]W!,1
65,Mary1Williams,Mary1Williams@uwaterloo.ca,e\;N4=|VQ%Ks,1
66,Lisa1Jackson,Lisa1Jackson@outlook.ca,cIiI>#2H\vw:,2
67,Jessica1Garcia,Jessica1Garcia@uwaterloo.ca,L/SnEH7Bsbc+,1
68,Michael3Rodriguez,Michael3Rodriguez@uwaterloo.ca,?:crcH'!IZP6,1
69,Robert1Moore,Robert1Moore@gmail.com,Jg~im>fh>GEO,2
70,John1Jackson,John1Jackson@yahoo.com,`3*4]hK6l):x,1
71,Joseph1Thompson,Joseph1Thompson@uwaterloo.ca,"7tHF""5`mB^hp",1
72,Nancy1Jones,Nancy1Jones@gmail.com,2}/(FAHo?+87,1
73,Barbara1Johnson,Barbara1Johnson@proton.me,Gy+iIp\Y[7~x,2
74,William1Perez,William1Perez@outlook.ca,=pYQJ;0d.2*h,2
75,Lisa1Harris,Lisa1Harris@yahoo.com,B{:p%e|(:(UV,2
76,Christopher1Lee,Christopher1Lee@proton.me,q=;HV^V^y}tZ,2
77,William1Wilson,William1Wilson@yahoo.com,DFOwVjMVk>Mc,1
78,William1Johnson,William1Johnson@proton.me,3ot[6-q|utQ!,2
79,Christopher1Moore,Christopher1Moore@uwaterloo.ca,8eQe*G4f5|k4,2
80,Robert1Perez,Robert1Perez@proton.me,H{SXtgAGy(Yk,1
81,David1Taylor,David1Taylor@yahoo.com,bM*=X)zXT!Li,1
82,Robert1Hernandez,Robert1Hernandez@outlook.ca,5JxG]inLam>/,1
83,Charles1Thompson,Charles1Thompson@gmail.com,Rn@d5F}ki^v-,2
84,Richard1Harris,Richard1Harris@outlook.ca,:L0@8HH1@Uu(,2
85,Daniel1Rodriguez,Daniel1Rodriguez@outlook.ca,!yJ3dcT5(EX|,1
86,Linda1Thomas,Linda1Thomas@uwaterloo.ca,"""<{*T=W+d&6^",1
87,Joseph1Jackson,Joseph1Jackson@yahoo.com,Njyq*Q`#.K~B,1
88,Patricia1Jones,Patricia1Jones@yahoo.com,"2r=)=6""0nLiF",1
89,Mary1Brown,Mary1Brown@outlook.ca,2>Y1(V|R9GZW,2
90,Thomas1Johnson,Thomas1Johnson@uwaterloo.ca,"1Ji?u!D/p;,&",2
91,Daniel1Moore,Daniel1Moore@proton.me,"s:8(_7""u++g)",1
92,Nancy1Williams,Nancy1Williams@proton.me,"O:7C_u8,c,Or",1
93,Jessica1Martinez,Jessica1Martinez@yahoo.com,H8H^.z@[qy%l,1
94,Karen1Jones,Karen1Jones@gmail.com,i7rjoLMf8se0,1
95,Charles1Martin,Charles1Martin@outlook.ca,"mz|<=_^""GD#O",2
96,Daniel1Lopez,Daniel1Lopez@uwaterloo.ca,3l5tyWS/2j2z,2
97,Lisa2Harris,Lisa2Harris@yahoo.com,"S,kb&1[3.>y-",2
98,Patricia1Garcia,Patricia1Garcia@uwaterloo.ca,X{((if3f({!a,1
99,Jessica1Gonzalez,Jessica1Gonzalez@gmail.com,hPUy)y9VdqsW,1
100,Linda3Moore,Linda3Moore@proton.me,-drq1PN!+zh2,1
101,Jennifer1Smith,Jennifer1Smith@gmail.com,1\b.o<j_lqJ?,2
102,Robert1Jones,Robert1Jones@yahoo.com,2&2>Y&M;??0e,2
103,Jennifer1Gonzalez,Jennifer1Gonzalez@gmail.com,~J!yc}2>o8.&,2
104,Charles1Lee,Charles1Lee@proton.me,T@[V#kv:p/Nc,1
105,Michael1White,Michael1White@yahoo.com,z>8IVLN4[pK$,1
106,Michael2Martinez,Michael2Martinez@gmail.com,b)h=zb'Q]ZHn,2
107,Joseph1Smith,Joseph1Smith@gmail.com,5IMrsPoT_F)%,2
108,Thomas2Martin,Thomas2Martin@outlook.ca,Gs2Ns~D*{+zm,2
109,James1Rodriguez,James1Rodriguez@proton.me,g|Y*\|nZ!EFn,1
110,Jennifer2Smith,Jennifer2Smith@gmail.com,6!+];^.By2R-,2
111,Matthew1Taylor,Matthew1Taylor@gmail.com,}&dEC[|P@BmY,1
112,Karen1Harris,Karen1Harris@gmail.com,"u}8;C1:L\3""#",1
113,Nancy1Anderson,Nancy1Anderson@proton.me,"?\_I,B-Lbtg^",2
114,Karen1Thompson,Karen1Thompson@uwaterloo.ca,4\`|BrDkg0g],2
115,Susan1Lee,Susan1Lee@uwaterloo.ca,"""j)$m\S:ECGu",1
116,Karen1White,Karen1White@gmail.com,".!^,-cPuJutf",2
117,Linda1Rodriguez,Linda1Rodriguez@uwaterloo.ca,K=j8oZ]p(`[E,2
118,Jessica1Thomas,Jessica1Thomas@gmail.com,L6NI.'*|3sA/,1
119,Jennifer1Lopez,Jennifer1Lopez@outlook.ca,RbHS9aMEnM5f,1
120,James1Wilson,James1Wilson@yahoo.com,2^_x[z7{rvX%,2
121,Barbara1Moore,Barbara1Moore@yahoo.com,5On>A=OPuc[},1
122,Karen2Jones,Karen2Jones@yahoo.com,*^|Hw7ems`Os,2
123,Charles1White,Charles1White@uwaterloo.ca,"M!|MY|""b94lK",1
124,Charles1Martinez,Charles1Martinez@yahoo.com,"w""&|FUM17PoX",1
125,David1Harris,David1Harris@proton.me,gfv[@q>bq#]c,1
126,Mary1Jones,Mary1Jones@outlook.ca,ab:}6H<fG{tZ,2
127,David2Harris,David2Harris@outlook.ca,",FNv,hkM<A7[",2
128,Linda1Wilson,Linda1Wilson@uwaterloo.ca,"Ies,>w.dQ,@d",2
129,Nancy1White,Nancy1White@uwaterloo.ca,iwEjfXf1j)V#,2
130,Jennifer1Martin,Jennifer1Martin@gmail.com,~]0]m.G=t-dp,1
131,Mary1Wilson,Mary1Wilson@proton.me,.WwNhn=L}|:O,1
132,David1Perez,David1Perez@gmail.com,#C!<h3Bz?-J:,1
133,Christopher2Perez,Christopher2Perez@outlook.ca,jMhQj'll>l[#,2
134,Patricia1Miller,Patricia1Miller@uwaterloo.ca,"F,z=p+RUR,oM",1
135,Linda1Lee,Linda1Lee@outlook.ca,_25$m1;*wc8?,1
136,Mary1Rodriguez,Mary1Rodriguez@outlook.ca,;8&#:vfJ|Y`|,1
137,Daniel1Garcia,Daniel1Garcia@yahoo.com,'u{*E@{C[;Gt,1
138,Jennifer1Jones,Jennifer1Jones@yahoo.com,H0;j9N+n`_h],1
139,John1Lopez,John1Lopez@gmail.com,vmdMKrn~Bx3\,1
140,Daniel2Lopez,Daniel2Lopez@outlook.ca,`yxx2c{aVW$4,1
141,Susan1Moore,Susan1Moore@proton.me,:u5E[VpDll>^,2
142,Richard1Martinez,Richard1Martinez@yahoo.com,3|x=G}~_Qn6%,1
143,Matthew1Jackson,Matthew1Jackson@yahoo.com,uHp=h15?6JxL,2
144,William1Moore,William1Moore@outlook.ca,xe%1Gann6u!n,1
145,Richard2Martinez,Richard2Martinez@gmail.com,?>:8^w2vZxYv,1
146,Nancy1Smith,Nancy1Smith@yahoo.com,mmnHHqW+aA.h,2
147,Jennifer1Jackson,Jennifer1Jackson@outlook.ca,"]%[NN""d;L-IS",2
148,Joseph1Lee,Joseph1Lee@outlook.ca,[e=}i\>/+eHO,2
149,Linda1Hernandez,Linda1Hernandez@outlook.ca,@tc}1p90N(1',2
150,Matthew1White,Matthew1White@proton.me,(|8CIqhmtWvi,2
151,Elizabeth1Gonzalez,Elizabeth1Gonzalez@gmail.com,a[378jb!ai#J,1
152,Karen1Wilson,Karen1Wilson@uwaterloo.ca,`egNUC@jHWMD,1
153,Elizabeth1Perez,Elizabeth1Perez@uwaterloo.ca,Rx$bGI9@s)J*,1
154,Karen3Jones,Karen3Jones@proton.me,estLaeSu9;0{,1
155,Jennifer1Williams,Jennifer1Williams@uwaterloo.ca,*go-:|OqmkWn,1
156,James1Martinez,James1Martinez@yahoo.com,por.+JBp]^`@,1
157,Elizabeth1Garcia,Elizabeth1Garcia@outlook.ca,<wMXPG)7VOix,2
158,Sarah1Miller,Sarah1Miller@yahoo.com,t=MErxM})$)T,2
159,Lisa1Thomas,Lisa1Thomas@outlook.ca,L%[BmO;+JnDa,1
160,John1Thomas,John1Thomas@outlook.ca,<5X=V)s-+_zZ,2
161,Robert1Harris,Robert1Harris@proton.me,xiAPOncZK{uE,2
162,Charles2Thompson,Charles2Thompson@outlook.ca,Z6YU04F9}IkP,1
163,Christopher1Garcia,Christopher1Garcia@outlook.ca,"%;p""4,V_N+M]",1
164,Patricia1White,Patricia1White@outlook.ca,Sr9Nyl@@jB'M,1
165,Mary2Davis,Mary2Davis@proton.me,"cpZw7:;[,X""&",2
166,Susan1Smith,Susan1Smith@uwaterloo.ca,rP0l3^(<{WtA,1
167,Mary1Smith,Mary1Smith@gmail.com,":1""MsTnt/S=q",1
168,Lisa1Garcia,Lisa1Garcia@outlook.ca,+rje$3>'kU`],2
169,Michael1Moore,Michael1Moore@proton.me,R'`O.Sa>fLw(,1
170,Patricia1Smith,Patricia1Smith@gmail.com,*wHD|Qz1$TX+,1
171,David1Garcia,David1Garcia@gmail.com,1n10t7i[wkyG,1
172,Thomas1Davis,Thomas1Davis@outlook.ca,6\m&@*-Hhq}S,1
173,Barbara2Moore,Barbara2Moore@uwaterloo.ca,"s&W6_)Fr4)2,",2
174,Karen1Garcia,Karen1Garcia@outlook.ca,wF/<{g(2ZHLi,1
175,Mary1Anderson,Mary1Anderson@proton.me,7b5Ys~'\O<(3,2
176,Jennifer1Anderson,Jennifer1Anderson@proton.me,{:O/l9@HkMk;,1
177,Linda1Garcia,Linda1Garcia@outlook.ca,*A9[a%krup+:,1
178,Thomas3Martin,Thomas3Martin@proton.me,:4:D-^&'X`eq,1
179,Michael1Thomas,Michael1Thomas@proton.me,96~8oJ-@Tz9h,1
180,Thomas1Hernandez,Thomas1Hernandez@yahoo.com,mjrYdBKwXKz+,2
181,Jennifer2Gonzalez,Jennifer2Gonzalez@proton.me,Z].vTVwgyC2b,1
182,Linda2Wilson,Linda2Wilson@outlook.ca,&OJTf]tEyanS,2
183,Matthew2Brown,Matthew2Brown@yahoo.com,&&$rMZOVT~5E,1
184,Michael1Jones,Michael1Jones@outlook.ca,kmv}m?&s:e$',1
185,Michael1Davis,Michael1Davis@outlook.ca,z}W!9Xf/p84G,1
186,Patricia1Perez,Patricia1Perez@outlook.ca,'WMo1bSqMn);,1
187,Barbara1Garcia,Barbara1Garcia@proton.me,"OJ""eFdU(Lp5,",1
188,Thomas1Thomas,Thomas1Thomas@gmail.com,;Vc|y><w(F]>,1
189,Richard1Thomas,Richard1Thomas@proton.me,{-Qg.Mn9:mBw,2
190,Patricia1Lee,Patricia1Lee@yahoo.com,)R%`Zg6[4-z$,2
191,Matthew1Lee,Matthew1Lee@gmail.com,^L5psX/Ywg~5,1
192,James1Lee,James1Lee@outlook.ca,8V;+ew@:_BUu,1
193,Christopher1Rodriguez,Christopher1Rodriguez@uwaterloo.ca,ixrZE9yEb(=9,1
194,Karen4Jones,Karen4Jones@proton.me,"w""=4[7n!>Jy)",2
195,Susan1Brown,Susan1Brown@proton.me,Za!tfd?S4GZ@,1
196,Barbara1Jackson,Barbara1Jackson@proton.me,^.Q_ozsJ.YUi,1
197,Sarah1Thompson,Sarah1Thompson@gmail.com,v+fd3eT`P@|%,2
198,Nancy1Thomas,Nancy1Thomas@uwaterloo.ca,f%p&]H@&?yJ>,1
199,Daniel1White,Daniel1White@uwaterloo.ca,:uor1(tes$nM,2
200,Richard1Lopez,Richard1Lopez@proton.me,tJ}>wZpXu!Yk,2
201,Matthew1Garcia,Matthew1Garcia@outlook.ca,y0:`uS9abE2P,2
202,Charles2Brown,Charles2Brown@uwaterloo.ca,o(<;Yk?_5-'f,2
203,Joseph1Miller,Joseph1Miller@gmail.com,<^`^w3+`UqN2,1
204,David1Hernandez,David1Hernandez@uwaterloo.ca,?X[AOC-n[v*>,2
205,Nancy1Wilson,Nancy1Wilson@yahoo.com,"_n#M`EU""lUWu",2
206,Lisa1Martinez,Lisa1Martinez@uwaterloo.ca,y+jVBVmnD+;a,1
207,Joseph1Rodriguez,Joseph1Rodriguez@proton.me,!Vx~)h.%$'J4,1
208,Matthew2Martin,Matthew2Martin@proton.me,opG1st|^f`iL,2
209,Charles2Martinez,Charles2Martinez@yahoo.com,QAP^[]tHUH&@,2
210,Charles2Martin,Charles2Martin@proton.me,'KkP>^La07#8,2
211,James1Moore,James1Moore@yahoo.com,1##0A.]'|yuq,2
212,Elizabeth2Perez,Elizabeth2Perez@proton.me,"GD(p""4PiKI@5",2
213,Sarah1Lopez,Sarah1Lopez@outlook.ca,c/ZV/ut]sL@_,2
214,Richard1Rodriguez,Richard1Rodriguez@yahoo.com,">6:2?)o}{\I""",1
215,Karen1Taylor,Karen1Taylor@gmail.com,"_j,}?/Ndsy.r",1
216,Susan1Anderson,Susan1Anderson@uwaterloo.ca,AJu&aS[jG=a2,2
217,Joseph1Taylor,Joseph1Taylor@gmail.com,v/8\XFd.u>=~,1
218,Richard1White,Richard1White@outlook.ca,#!(d:^Qs'?ZI,1
219,Richard3Martinez,Richard3Martinez@outlook.ca,PdU)<yJl'0-5,1
220,William1Martinez,William1Martinez@gmail.com,@l(z\[cPN]#h,1
221,Karen2Garcia,Karen2Garcia@outlook.ca,Z&2^(2ZLQ'PE,2
222,James1Hernandez,James1Hernandez@uwaterloo.ca,2aAi_.h~}wyo,1
223,Mary1Garcia,Mary1Garcia@proton.me,1fx1aS<1*nEP,1
224,Joseph1Johnson,Joseph1Johnson@proton.me,Xr/vK`1)>rZN,2
225,Elizabeth1Moore,Elizabeth1Moore@outlook.ca,"Lg1n^z+dPuF,",1
226,James2Moore,James2Moore@uwaterloo.ca,B%~}kFlj^=Yr,2
227,Sarah1Rodriguez,Sarah1Rodriguez@gmail.com,"r<5fu!,uJ2!?",1
228,Matthew1Davis,Matthew1Davis@yahoo.com,o(p}&:WlSBYu,1
229,Nancy1Johnson,Nancy1Johnson@gmail.com,"2""(p'ES[kml(",2
230,Elizabeth3Perez,Elizabeth3Perez@outlook.ca,-?2t/T?HdvDO,1
231,Karen1Martin,Karen1Martin@proton.me,Qx3^TX!r!$o[,2
232,Lisa1Brown,Lisa1Brown@outlook.ca,*6_5GppCh?D',2
233,Susan1Davis,Susan1Davis@yahoo.com,Op+GB@Dlw5l~,1
234,Joseph2Lopez,Joseph2Lopez@yahoo.com,"C~a""#;i3zbsd",1
235,James1Miller,James1Miller@yahoo.com,"BFix""=6FP?IA",2
236,Lisa1Gonzalez,Lisa1Gonzalez@proton.me,"1Et^7.X""2xaO",1
237,Charles1Harris,Charles1Harris@outlook.ca,728-4}VJG53\,2
238,Christopher1Miller,Christopher1Miller@yahoo.com,1fYZ`5UVwJ]D,2
239,Richard4Martinez,Richard4Martinez@yahoo.com,"5Oh""cN0c`#q|",2
240,Matthew2Jackson,Matthew2Jackson@uwaterloo.ca,jvBu](`!sT+x,2
241,Sarah1Perez,Sarah1Perez@gmail.com,DG]NMRMCz.#E,2
242,Joseph2Jackson,Joseph2Jackson@yahoo.com,imbAmx#m:Zo3,2
243,Lisa1Smith,Lisa1Smith@yahoo.com,N}qcB@X<f_q-,2
244,Jennifer1Wilson,Jennifer1Wilson@yahoo.com,HqEGii0wJf.;,1
245,Patricia2Lee,Patricia2Lee@uwaterloo.ca,:5m/25wu9)!C,2
246,Barbara1Thompson,Barbara1Thompson@yahoo.com,7I#QESbDyY-\,1
247,Linda2Rodriguez,Linda2Rodriguez@gmail.com,FB%D.VkZ<JAt,2
248,William1Jones,William1Jones@outlook.ca,"VQ6VOLqUY""e}",1
249,Richard2Thomas,Richard2Thomas@gmail.com,2*'`n1E<3yoy,2
250,Susan2Moore,Susan2Moore@proton.me,G5M8ps4`y+|T,2
251,Jennifer1Martinez,Jennifer1Martinez@yahoo.com,nly^%TaAx\n1,2
252,Robert2Harris,Robert2Harris@uwaterloo.ca,"L3C\`-0(yg&""",1
253,David1Lopez,David1Lopez@outlook.ca,"*!WY""}Vh,Q/{",2
254,Jessica1Jones,Jessica1Jones@gmail.com,)k5\<JbN[`6E,2
255,Matthew2Garcia,Matthew2Garcia@uwaterloo.ca,"LA},ywp>^g`l",1
256,Patricia1Martin,Patricia1Martin@yahoo.com,"l.zDX6\%G[[""",2
257,Linda1Miller,Linda1Miller@gmail.com,>98<ax1FeTD!,2
258,James2Rodriguez,James2Rodriguez@proton.me,q7={]Oozp>D?,2
259,Jessica2Gonzalez,Jessica2Gonzalez@gmail.com,<}YoR3y`bmVp,2
260,Nancy1Hernandez,Nancy1Hernandez@gmail.com,+rSQ(}Bp2$<g,1
261,Karen2Wilson,Karen2Wilson@gmail.com,!JA(E*F]fh1D,1
262,Patricia2Davis,Patricia2Davis@outlook.ca,"5C""L:B""-EJ?(",1
263,David1Smith,David1Smith@proton.me,"P\uMsMuVU!R""",1
264,Robert1Martinez,Robert1Martinez@gmail.com,(8'>f6/-:r?U,2
265,Michael1Brown,Michael1Brown@uwaterloo.ca,B>J'g@S;ccj:,1
266,James1White,James1White@uwaterloo.ca,U{_'f#!@B2d9,2
267,Robert2Perez,Robert2Perez@uwaterloo.ca,_WKK?xAb$Jy5,1
268,John1Thompson,John1Thompson@proton.me,"q9""cT1pS1c|n",1
269,Matthew2Lee,Matthew2Lee@uwaterloo.ca,",$|reG@E'ggd",2
270,Jessica2Garcia,Jessica2Garcia@proton.me,]md9EVN%6fBj,2
271,Sarah1Lee,Sarah1Lee@outlook.ca,"1""pJC->-(%zs",1
272,Karen1Lopez,Karen1Lopez@outlook.ca,WP?(O|d?N;^!,2
273,Daniel1Perez,Daniel1Perez@gmail.com,YYph*!z`\NXC,2
274,Jennifer2Garcia,Jennifer2Garcia@outlook.ca,.K|u{Sypa>_M,2
275,Jennifer1Perez,Jennifer1Perez@gmail.com,\ItLIPyxeu&[,1
276,Daniel1Hernandez,Daniel1Hernandez@yahoo.com,Rc(ZUK~')B8`,2
277,Patricia1Taylor,Patricia1Taylor@gmail.com,u&%+8[br5#yA,2
278,Barbara1Martin,Barbara1Martin@yahoo.com,sV$d)Cm1gq+>,2
279,John1Johnson,John1Johnson@gmail.com,"]j_we""AD]6Xe",1
280,Thomas1Lee,Thomas1Lee@yahoo.com,%5Fi]^(z4n*[,2
281,Elizabeth1Martin,Elizabeth1Martin@yahoo.com,ddL8/lB*<\!b,2
282,Joseph1Anderson,Joseph1Anderson@gmail.com,/erB}*f[YE>4,2
283,Jessica1Davis,Jessica1Davis@gmail.com,"@03,-?2k6'6$",1
284,Barbara1Harris,Barbara1Harris@uwaterloo.ca,[uq>#I_`%E]/,2
285,Joseph2Taylor,Joseph2Taylor@gmail.com,~eK4ZqO\JU}O,1
286,Joseph1Brown,Joseph1Brown@gmail.com,\EtP(.54EU:(,2
287,Daniel1Jackson,Daniel1Jackson@proton.me,"(~Yg!""90Wyxq",1
288,William2Martinez,William2Martinez@outlook.ca,^6sIRVcEC4#x,1
289,Mary1Hernandez,Mary1Hernandez@uwaterloo.ca,\FxHFr#rd{G/,2
290,Thomas1Moore,Thomas1Moore@yahoo.com,!tO28wWYn/SJ,1
291,Michael2Brown,Michael2Brown@outlook.ca,f83&z*Q{VLB=,1
292,Susan1Williams,Susan1Williams@yahoo.com,.vQke$fK*rE|,1
293,Linda2Lee,Linda2Lee@outlook.ca,D}&4x&>I.vJ$,1
294,Susan1Johnson,Susan1Johnson@outlook.ca,C4GSySaZMM.X,2
295,Thomas2Moore,Thomas2Moore@uwaterloo.ca,$GY;?6w=~a:0,1
296,Barbara2Garcia,Barbara2Garcia@proton.me,"np-""0VZZQua0",2
297,Michael1Smith,Michael1Smith@gmail.com,h1'smFV$@t${,2
298,Jennifer1Hernandez,Jennifer1Hernandez@yahoo.com,8y}31WSlWT0\,2
299,Jennifer1Brown,Jennifer1Brown@proton.me,Vw.fxVMCr.}K,2
300,Susan1Hernandez,Susan1Hernandez@uwaterloo.ca,V8>4IHz8XHqH,2
301,Lisa2Davis,Lisa2Davis@proton.me,"^4uM\$,$?2FC",1
302,Patricia2Taylor,Patricia2Taylor@outlook.ca,!%ff!+z|ke!s,1
303,Barbara1Wilson,Barbara1Wilson@proton.me,KmwN+B<9{87L,1
304,Elizabeth1Rodriguez,Elizabeth1Rodriguez@proton.me,"a6S""<}AH.$$`",2
305,John1White,John1White@proton.me,d/Z&!6RX'!$7,2
306,Lisa2Gonzalez,Lisa2Gonzalez@uwaterloo.ca,"\v}""wk#>P:w>",2
307,Charles1Williams,Charles1Williams@gmail.com,*N_K'(FP%u)G,1
308,Michael1Gonzalez,Michael1Gonzalez@uwaterloo.ca,qW_W#sa1^Q&#,2
309,Richard1Lee,Richard1Lee@proton.me,L{G1+]/)96;O,2
310,David1Johnson,David1Johnson@outlook.ca,V?(81'[T?NAi,1
311,Daniel1Johnson,Daniel1Johnson@yahoo.com,a>%SavYY|;Fc,1
312,Sarah1Martin,Sarah1Martin@outlook.ca,"N""2b%~.ZV{9~",2
313,Jessica2Davis,Jessica2Davis@outlook.ca,<2!^Ry@~zO5g,1
314,Sarah1Davis,Sarah1Davis@gmail.com,w-(ho'Vfg@uh,1
315,Patricia1Thompson,Patricia1Thompson@yahoo.com,")\,""ad%jpp'b",2
316,Nancy1Taylor,Nancy1Taylor@gmail.com,~SuO;)7Oxl7F,2
317,Jennifer1Lee,Jennifer1Lee@gmail.com,"l!}{u:4=]""+3",2
318,William1White,William1White@outlook.ca,!qCH}NI9<3Z:,2
319,Karen2Harris,Karen2Harris@outlook.ca,o&A.dBN!ND[w,2
320,Charles1Lopez,Charles1Lopez@proton.me,"}4vgm""k3QW[T",1
321,Sarah2Lopez,Sarah2Lopez@proton.me,;JazSV?2d7fV,2
322,Christopher1Thompson,Christopher1Thompson@outlook.ca,$ta(r`rgeSdR,2
323,Matthew2Taylor,Matthew2Taylor@uwaterloo.ca,"-sNr$nrZoD+,",1
324,Charles2Johnson,Charles2Johnson@uwaterloo.ca,"TdgiR==VU""pq",1
325,John1Anderson,John1Anderson@outlook.ca,"Ke80%?doV7,i",2
326,Lisa1Moore,Lisa1Moore@outlook.ca,MTNi?>xd>FML,1
327,Robert2Martinez,Robert2Martinez@outlook.ca,S$I>n;FdzV@l,1
328,Christopher1Martin,Christopher1Martin@proton.me,^{UezKxVSa2d,1
329,Joseph2Smith,Joseph2Smith@gmail.com,yR:F8\eGYd~.,2
330,William1Hernandez,William1Hernandez@yahoo.com,"``%/\L~;^5,R",2
